Churn Probability,Risk Level
0.018883867,Low Risk
0.07732534,Low Risk
0.03624759,Low Risk
0.055044834,Low Risk
0.105673194,Low Risk
0.34859666,Low Risk
0.053325932,Low Risk
0.4850555,Medium Risk
0.5390359,Medium Risk
0.06732851,Low Risk
0.6508513,Medium Risk
0.29152122,Low Risk
0.0215836,Low Risk
0.05724922,Low Risk
0.10416208,Low Risk
0.007891455,Low Risk
0.05548231,Low Risk
0.10272891,Low Risk
0.8902862,High Risk
0.29769486,Low Risk
0.82658494,High Risk
0.012996143,Low Risk
0.041445114,Low Risk
0.26946026,Low Risk
0.064309694,Low Risk
0.07216436,Low Risk
0.08988168,Low Risk
0.065056816,Low Risk
0.05709174,Low Risk
0.16996782,Low Risk
0.06011443,Low Risk
0.52378035,Medium Risk
0.5344235,Medium Risk
0.031170273,Low Risk
0.3113279,Low Risk
0.061729193,Low Risk
0.06696565,Low Risk
0.047715385,Low Risk
0.31911442,Low Risk
0.44858348,Medium Risk
0.05899021,Low Risk
0.022645868,Low Risk
0.32350963,Low Risk
0.10376443,Low Risk
0.029117497,Low Risk
0.07910601,Low Risk
0.16117607,Low Risk
0.68495744,Medium Risk
0.047953445,Low Risk
0.96790344,High Risk
0.15633607,Low Risk
0.15023188,Low Risk
0.012945547,Low Risk
0.011827591,Low Risk
0.49533752,Medium Risk
0.1283025,Low Risk
0.0809899,Low Risk
0.03553794,Low Risk
0.116753526,Low Risk
0.0090281,Low Risk
0.012755873,Low Risk
0.013098019,Low Risk
0.5877789,Medium Risk
0.097890474,Low Risk
0.13337122,Low Risk
0.1076995,Low Risk
0.075407565,Low Risk
0.08665627,Low Risk
0.016732562,Low Risk
0.023743013,Low Risk
0.1075588,Low Risk
0.8595891,High Risk
0.14750074,Low Risk
0.23718137,Low Risk
0.9898728,High Risk
0.08886791,Low Risk
0.05464584,Low Risk
0.15235564,Low Risk
0.07571758,Low Risk
0.47532544,Medium Risk
0.02185979,Low Risk
0.0799248,Low Risk
0.04313625,Low Risk
0.07145169,Low Risk
0.16962963,Low Risk
0.013675102,Low Risk
0.1312865,Low Risk
0.3407195,Low Risk
0.03576947,Low Risk
0.1441842,Low Risk
0.02121662,Low Risk
0.029887779,Low Risk
0.22722185,Low Risk
0.09882111,Low Risk
0.96573865,High Risk
0.13249157,Low Risk
0.09080573,Low Risk
0.19259651,Low Risk
0.029372068,Low Risk
0.009860419,Low Risk
0.20651928,Low Risk
0.03916354,Low Risk
0.040262956,Low Risk
0.2177469,Low Risk
0.10258572,Low Risk
0.14179249,Low Risk
0.06546477,Low Risk
0.042741608,Low Risk
0.051407922,Low Risk
0.070741765,Low Risk
0.0386839,Low Risk
0.15694402,Low Risk
0.097837575,Low Risk
0.20156826,Low Risk
0.055588286,Low Risk
0.2327927,Low Risk
0.038194668,Low Risk
0.009362102,Low Risk
0.3563937,Low Risk
0.111589074,Low Risk
0.17802371,Low Risk
0.1915471,Low Risk
0.034031983,Low Risk
0.22875343,Low Risk
0.058728777,Low Risk
0.13193108,Low Risk
0.10648319,Low Risk
0.10671102,Low Risk
0.14681578,Low Risk
0.038502857,Low Risk
0.24872662,Low Risk
